		
age	CATEGORY	BARCODE
Picture Perfect	Card Game	TY1654
What animals eat	Puzzle	TY1655
My First Puzzle-Birthday	Puzzle	TY1656
First Puzzles-Cars	Puzzle	TY1659
Geometrical solids	Wooden Toy	TY1660
My First Puzzle-Music time	Puzzle	TY1661
Winnie the Pooh- 6in1	Puzzle	TY1662
Early Learner-Opposites	Puzzle	TY1663
Princess 3Dpuzzle	Puzzle	TY1664
Dora & Boots 3D puzzle	Puzzle	TY1668
Clipo basic figure set	Plastic Toy	TY1670
Tray Puzzle-Numbers 1to20	Wooden Toy	TY1672
Dora the Explorer ABC game	Board Game	TY1673
Boggle Jr.	Card Game	TY1674
Button board	Plastic Toy	TY1675
Numbers on the go	Puzzle	TY1679
Alphabet with 2 Picture	Puzzle	TY1680
Match the pair	Puzzle	TY1681
Front & Back Memory	Card Game	TY1682
Brainy Baby animal puzzles	Puzzle	TY1683
123Sesame Street interactive flash cards ABC	Knowledge	TY1684
Count n link count....count...climb a mount!!!	Plastic Toy	TY1686
Play'n'learn shapes	Puzzle	TY1687
Tangrams junior	Board Game	TY1692
Wooden bead Maze Spiral	Wooden Toy	TY1695
Laugh & learn around the town learning table	Plastic Toy	TY1696
Laugh and learn peek-a-boo cuckoo	Plastic Toy	TY1697
Abacus with stand	Wooden Toy	TY1698
Tray Puzzle- Capital Alphabet	Wooden Toy	TY1700
Colour Bingo Bus	Board Game	TY1703
Sequence for kids	Board Game	TY1705
Animal Lotto	Board Game	TY1707
Push'n go plane	Plastic Toy	TY1710
Building blocks ( Numbers )	Plastic Toy	TY1711
Noddy The ABC Game	Puzzle	TY1719
Mind builder small	Plastic Toy	TY1720
Spell time	Plastic Toy	TY1721
Pyramid Blocks	Plastic Toy	TY1726
Chhota Bheem Raaj Mahal	Puzzle	TY1730
Things that go together	Puzzle	TY1732
Drum	Plastic Toy	TY1742
Tumbling Monkey	Plastic Toy	Ty1743
Truck plastic toy	Plastic Toy	TY1744
Magnetic frog fishing	Wooden Toy	TY1745
Pound A Ball Hammer Ball	Plastic Toy	TY1746
